"stil","vrsta"
"02.0215","Sports, Underwear"
"02.0302","Sports, trousers/skirts/dresses"
"02.0305","Sports, T-Shirts"
"02.0306","Sports, T-Shirts"
"02.0312","Sports, trousers/skirts/dresses"
"02.0315","Sports, T-Shirts"
"02.0316","Sports, T-Shirts"
"02.0322","Sports, trousers/skirts/dresses"
"02.0335","Accessories, Sports"
"02.0336","Accessories, Sports"
"02.0342","Accessories, Sports, Underwear"
"02.0352","Sweats"
"02.0354","Sweats"
"02.0355","Sweats"
"02.0356","Polos"
"02.0357","Sports, T-Shirts"
"02.0358","Sports, T-Shirts"
"02.036K","Sports, Sweats, trousers/skirts/dresses"
"02.0372","Sports"
"02.0386","Sports, T-Shirts"
"02.0387","Sports, trousers/skirts/dresses"
"02.0390","Sports, T-Shirts"
"02.0391","Sports, T-Shirts"
"02.0396","Sports, T-Shirts"
"02.0397","Sports, T-Shirts"
"02.0401","Polos, Sports"
"02.040K","Sweats"
"02.0411","Polos, Sports"
"02.044K","Fleece"
"02.0451","Sports, T-Shirts"
"02.0452","Sports, T-Shirts"
"02.0453","Sports, T-Shirts"
"02.0454","Sports, T-Shirts"
"02.0460","Sports, trousers/skirts/dresses"
"02.0461","Sports, trousers/skirts/dresses"
"02.0462","Sports, trousers/skirts/dresses"
"02.0463","Sports, trousers/skirts/dresses"
"02.0479","Sports, trousers/skirts/dresses"
"02.047K","Sweats"
"02.0480","Sports, trousers/skirts/dresses"
"02.0488","Sports, trousers/skirts/dresses"
"02.0491","Sports, trousers/skirts/dresses"
"02.0492","Sports, trousers/skirts/dresses"
"02.0493","Sports, T-Shirts"
"02.0494","Sports, T-Shirts"
"02.0495","Sports, T-Shirts"
"02.0496","Sports, T-Shirts"
"02.0497","Sports, T-Shirts"
"02.0498","Sports, T-Shirts"
"02.0504","Accessories"
"02.0505","Accessories, Sales Support"
"02.0506","Sales Support"
"02.0511","Sports, T-Shirts"
"02.0512","Sports, T-Shirts"
"02.0513","Sports, T-Shirts"
"02.0514","Sports, T-Shirts"
"02.0515","Sports, T-Shirts"
"02.0516","Sports, T-Shirts"
"02.0519","Sports, T-Shirts"
"02.0520","Sports, T-Shirts"
"02.0521","Sports, T-Shirts"
"02.0522","Sports, T-Shirts"
"02.0523","Sports, T-Shirts"
"02.0524","Sports, T-Shirts"
"02.0525","Sports, trousers/skirts/dresses"
"02.0526","Sports, trousers/skirts/dresses"
"02.0527","Sports, trousers/skirts/dresses"
"02.0528","Sports, trousers/skirts/dresses"
"02.0529","Sports, trousers/skirts/dresses"
"02.0531","Sports, Sweats"
"02.0532","Sports, Sweats"
"02.0533","Jackets, Sports"
"02.0534","Jackets, Sports"
"02.0568","Polos"
"02.0569","Polos"
"02.0570","Fleece"
"02.0571","Fleece"
"02.0574","Polos, Sports"
"02.0575","Polos, Sports"
"02.0576","Polos, Sports"
"02.0582","Sports, trousers/skirts/dresses"
"02.0583","Sports, trousers/skirts/dresses"
"02.0584","Sports, trousers/skirts/dresses"
"02.0585","Sports, trousers/skirts/dresses"
"02.0588","Fleece"
"02.0589","Fleece"
"02.0590","Fleece"
"02.0591","Fleece"
"02.0594","Sweats"
"02.0595","Sweats"
"02.0596","Fleece"
"02.0597","Fleece"
"02.059K","Sweats"
"02.0606","Shirts"
"02.0607","Shirts"
"02.0608","Shirts"
"02.0609","Shirts"
"02.0615","Shirts"
"02.0616","Shirts"
"02.0617","Shirts"
"02.0618","Shirts"
"02.0619","Shirts"
"02.0620","Shirts"
"02.0621","Shirts"
"02.0622","Shirts"
"02.0623","Shirts"
"02.0624","Shirts"
"02.0625","Shirts"
"02.0626","Shirts"
"02.0628","Shirts"
"02.0629","Shirts"
"02.0637","Shirts, Traditional Costumes"
"02.0638","Shirts, Traditional Costumes"
"02.0639","Pullover, Traditional Costumes"
"02.0640","Pullover, Traditional Costumes"
"02.0641","Shirts"
"02.0642","Shirts"
"02.0643","Shirts"
"02.0644","Shirts"
"02.0645","Shirts"
"02.0647","Shirts"
"02.0648","Shirts"
"02.0656","Pullover"
"02.0657","Pullover"
"02.0658","Pullover"
"02.0659","Pullover"
"02.0660","Pullover"
"02.0661","Pullover"
"02.0663","Pullover"
"02.0664","Pullover"
"02.0667","Pullover"
"02.0668","Pullover"
"02.0669","Shirts"
"02.0670","Shirts"
"02.0671","Shirts"
"02.0672","Shirts"
"02.0673","Shirts"
"02.0674","Shirts"
"02.0675","Shirts, Traditional Costumes"
"02.0676","Shirts, Traditional Costumes"
"02.0677","Shirts"
"02.0678","Shirts"
"02.0679","Shirts"
"02.0680","Shirts"
"02.0681","Shirts"
"02.0682","Shirts"
"02.0683","Shirts"
"02.0684","Shirts"
"02.0685","Shirts"
"02.0686","Shirts"
"02.0687","Shirts"
"02.0688","Shirts"
"02.0689","Shirts"
"02.0690","Shirts"
"02.0701","Polos"
"02.0702","Polos"
"02.0703","Polos"
"02.0704","Polos"
"02.0705","Polos"
"02.0706","Polos"
"02.0707","Polos"
"02.0708","Polos"
"02.0709","Polos"
"02.070K","Polos"
"02.0710","Polos"
"02.0711","Polos"
"02.0712","Polos"
"02.0713","Polos"
"02.0714","Polos"
"02.0715","Polos, Traditional Costumes"
"02.0716","Polos, Traditional Costumes"
"02.0719","Polos"
"02.0720","Polos"
"02.0725","Polos"
"02.0726","Polos"
"02.0727","Polos"
"02.0728","Polos"
"02.0735","Sports, T-Shirts"
"02.0736","Sports, T-Shirts"
"02.0737","Sports, T-Shirts"
"02.0738","Sports, T-Shirts"
"02.0739","Fleece, Jackets"
"02.0740","Fleece, Jackets"
"02.0741","Fleece, Jackets"
"02.0742","Fleece, Jackets"
"02.0744","T-Shirts"
"02.0745","T-Shirts"
"02.0746","T-Shirts"
"02.0749","Sports, T-Shirts"
"02.0750","Sports, T-Shirts"
"02.0751","Polos, Sports"
"02.0752","Polos, Sports"
"02.0753","Polos, Sports"
"02.0754","Polos, Sports"
"02.0755","Sweats"
"02.0756","Sweats"
"02.0761","Fleece, Traditional Costumes"
"02.0762","Fleece, Traditional Costumes"
"02.0763","Fleece"
"02.0764","Fleece"
"02.0765","Fleece"
"02.0766","Fleece"
"02.0767","Fleece, Jackets"
"02.0768","Fleece, Jackets"
"02.0769","Fleece"
"02.0770","Fleece"
"02.0771","Fleece, Jackets"
"02.0772","Fleece, Jackets"
"02.0773","Fleece, Traditional Costumes"
"02.0774","Fleece, Traditional Costumes"
"02.0775","Sweats"
"02.0776","Sweats"
"02.0777","Sweats"
"02.0778","Sweats"
"02.0779","Sweats, trousers/skirts/dresses"
"02.0780","Sweats, trousers/skirts/dresses"
"02.0781","Fleece"
"02.0782","Fleece"
"02.0783","Fleece"
"02.0784","Fleece"
"02.0785","Fleece"
"02.0786","Fleece"
"02.0787","Sports, T-Shirts"
"02.0788","Sports, T-Shirts"
"02.0789","T-Shirts"
"02.0790","T-Shirts"
"02.0791","Polos"
"02.0792","Polos"
"02.0793","Sweats"
"02.0794","Sweats"
"02.0795","Sweats"
"02.0796","Sweats"
"02.0797","T-Shirts"
"02.0800","T-Shirts, Workwear & Safety"
"02.0801","Polos, Workwear & Safety"
"02.0802","T-Shirts, Workwear & Safety"
"02.0803","Polos, Workwear & Safety"
"02.0810","Jackets, Workwear & Safety"
"02.0812","Jackets, Workwear & Safety"
"02.0813","Jackets, Workwear & Safety"
"02.0814","trousers/skirts/dresses, Workwear & Safety"
"02.0815","Jackets, Workwear & Safety"
"02.0821","Jackets, Workwear & Safety"
"02.0822","Jackets, Workwear & Safety"
"02.0824","Jackets, Workwear & Safety"
"02.0825","Jackets, Workwear & Safety"
"02.0827","T-Shirts, Workwear & Safety"
"02.0828","Polos, Workwear & Safety"
"02.0829","Polos, Workwear & Safety"
"02.0830","Polos, Workwear & Safety"
"02.0831","Sweats, Workwear & Safety"
"02.0833","trousers/skirts/dresses, Workwear & Safety"
"02.0835","trousers/skirts/dresses, Workwear & Safety"
"02.0836","Sweats, Workwear & Safety"
"02.0837","T-Shirts, Workwear & Safety"
"02.0838","T-Shirts, Workwear & Safety"
"02.0839","Sweats, Workwear & Safety"
"02.0840","Sweats, Workwear & Safety"
"02.0841","Fleece, Workwear & Safety"
"02.0842","Fleece, Workwear & Safety"
"02.0844","Jackets, Workwear & Safety"
"02.0845","Jackets, Workwear & Safety"
"02.0846","Polos, Workwear & Safety"
"02.0848","trousers/skirts/dresses, Workwear & Safety"
"02.0849","Jackets, Workwear & Safety"
"02.0850","Jackets, Workwear & Safety"
"02.0851","Jackets, Workwear & Safety"
"02.0852","Jackets, Workwear & Safety"
"02.0853","Jackets, Workwear & Safety"
"02.0854","Jackets, Workwear & Safety"
"02.0855","Fleece, Workwear & Safety"
"02.0856","Fleece, Workwear & Safety"
"02.0857","Polos, Workwear & Safety"
"02.0858","Polos, Workwear & Safety"
"02.0859","T-Shirts, Workwear & Safety"
"02.0860","T-Shirts, Workwear & Safety"
"02.0861","Fleece, Workwear & Safety"
"02.0862","Fleece, Workwear & Safety"
"02.0864","Fleece, Workwear & Safety"
"02.0865","Polos, Workwear & Safety"
"02.0866","Polos, Workwear & Safety"
"02.0867","Polos, Workwear & Safety"
"02.0868","Sweats, Workwear & Safety"
"02.0869","Sweats, Workwear & Safety"
"02.0870","Sweats, Workwear & Safety"
"02.0871","trousers/skirts/dresses, Workwear & Safety"
"02.0872","trousers/skirts/dresses, Workwear & Safety"
"02.0873","Polos, Workwear & Safety"
"02.0874","Polos, Workwear & Safety"
"02.0880","trousers/skirts/dresses, Workwear & Safety"
"02.0881","Jackets, Workwear & Safety"
"02.0882","Jackets, Workwear & Safety"
"02.0883","Jackets, Workwear & Safety"
"02.0884","Jackets, Workwear & Safety"
"02.0885","Jackets, Workwear & Safety"
"02.0886","Jackets, Workwear & Safety"
"02.0887","trousers/skirts/dresses, Workwear & Safety"
"02.0888","Jackets, Workwear & Safety"
"02.0889","T-Shirts, Workwear & Safety"
"02.0890","T-Shirts, Workwear & Safety"
"02.0891","Polos, Workwear & Safety"
"02.0892","Polos, Workwear & Safety"
"02.0893","Sweats, Workwear & Safety"
