"sku","europska_stevilka_artikla"
"481065zy199","8720289532710"
"481065zy099","8720289532703"
"481065zx999","8720289532697"
"48106502099","8720289532680"
"48106500399","8720289532673"
"48106500299","8720289532666"
"48105912599","8720289532659"
"48105900499","8720289532642"
"48102545099","8720289532598"
"48102500499","8720289532581"
"48102323599","8720289532574"
"48102223599","8720289532567"
"48102212299","8720289532550"
"48103112599","8720289532505"
"48100612599","8720289532499"
"48100312599","8720289532482"
"48100512599","8720289532475"
"48100112599","8720289532468"
"481031r4299","8720289532451"
"481006r4299","8720289532444"
"481003r4299","8720289532437"
"481005r4299","8720289532420"
"481001r4299","8720289532413"
"48101979799","8720289532260"
"481031za799","8720289532246"
"481017e1499","8720289532239"
"481017w3799","8720289532222"
"481016e1499","8720289532215"
"481016w3799","8720289532208"
"481015e1499","8720289532192"
"481015w3799","8720289532185"
"48104302236","8720289532178"
"48104302212","8720289532161"
"48104302234","8720289532154"
"48101112236","8720289532147"
"48101112212","8720289532130"
"48101112234","8720289532123"
"48102103736","8720289532116"
"48102103712","8720289532109"
"48102103734","8720289532093"
"481021za736","8720289532086"
"481021za712","8720289532079"
"481021za734","8720289532062"
"481011w3736","8720289532055"
"481011w3712","8720289532048"
"481011w3734","8720289532031"
"481006h2299","8720289532024"
"481006za799","8720289532017"
"481005h2299","8720289532000"
"481005za799","8720289531997"
"481003za799","8720289531980"
"48100203999","8720289531973"
"481002w3799","8720289531966"
"481001h2299","8720289531959"
"481001za799","8720289531942"
"48104823599","8720289531812"
"48108502099","8720289531805"
"48108500399","8720289531799"
"48108500199","8720289531782"
"48104300136","8720289531775"
"48104300112","8720289531768"
"48104300134","8720289531751"
"481007508i3","8720289531744"
"481007508i2","8720289531737"
"481007508i1","8720289531720"
"48100950899","8720289531713"
"48100850899","8720289531706"
"481000z7799","8720289531690"
"48100337099","8720289531683"
"48105965099","8720289531676"
"48105900399","8720289531669"
"481059e1499","8720289531652"
"481059zc099","8720289531645"
"48105910599","8720289531638"
"481059a9699","8720289531621"
"48101800199","8720289531584"
"48101823599","8720289531577"
"48100812299","8720289531560"
"481080e1499","8720289531546"
"481083e1499","8720289531539"
"481082e1499","8720289531522"
"481081e1499","8720289531515"
"48105685899","8720289531508"
"48104500399","8720289531393"
"48104502099","8720289531386"
"48104400334","8720289531379"
"48104402034","8720289531362"
"48101132636","8720289531263"
"48101132612","8720289531256"
"48101132634","8720289531249"
"481011e1436","8720289531232"
"481011e1412","8720289531225"
"481011e1434","8720289531218"
"48102345099","8720289531201"
"48102300499","8720289531195"
