"sku","tip_velikosti"
"48100335099","all"
"48100400299","all"
"481016h2299","all"
"481007122i1","all"
"48108402036","all"
"48108402034","all"
"48108402012","all"
"48108400336","all"
"48108400334","all"
"48108400312","all"
"48108400136","all"
"48108400134","all"
"48108400112","all"
"481083v4299","all"
"481083h2299","all"
"481083w3299","all"
"48108300399","all"
"48108302099","all"
"48108308999","all"
"48108300199","all"
"481082v4299","all"
"481082h2299","all"
"481082w3299","all"
"48108200399","all"
"48108202099","all"
"48108208999","all"
"48108200199","all"
"481081v4299","all"
"481081h2299","all"
"481081w3299","all"
"48108100399","all"
"48108102099","all"
"48108108999","all"
"48108100199","all"
"481080v4299","all"
"481080h2299","all"
"481080w3299","all"
"48108000399","all"
"48108002099","all"
"48108008999","all"
"48108000199","all"
"481007122i3","all"
"481007122i2","all"
"48100912299","all"
"481021v4236","all"
"481021v4234","all"
"481021v4212","all"
"481021h2236","all"
"481021h2234","all"
"481021h2212","all"
"48102157436","all"
"48102157434","all"
"48102157412","all"
"48102158036","all"
"48102158034","all"
"48102158012","all"
"48101120036","all"
"48101120034","all"
"48101120012","all"
"48101123536","all"
"48101123534","all"
"48101123512","all"
"48101702899","all"
"48101602899","all"
"48101502899","all"
"48100302899","all"
"48103102899","all"
"481031e1299","all"
"48100402099","all"
"481001e1499","all"
"481001w3299","all"
"48100111899","all"
"481001w3799","all"
"48100320099","all"
"48100312299","all"
"48100323599","all"
"48100303799","all"
"48100304099","all"
"48103104099","all"
"48103103399","all"
"48103120099","all"
"48103112299","all"
"48103123599","all"
"48103144099","all"
"48100308999","all"
"48101998099","all"
"481019e0899","all"
"481046w2999","all"
"48104711899","all"
"481047h2299","all"
"481047w3299","all"
"48104700199","all"
"48104702099","all"
"48104708999","all"
"48101708999","all"
"48101608999","all"
"48101508999","all"
"48103108999","all"
"48100611899","all"
"48100511899","all"
"48100311899","all"
"48103111899","all"
"481006w3799","all"
"481005w3799","all"
"481003w3799","all"
"481031w3799","all"
"481006w3299","all"
"481005w3299","all"
"481003w3299","all"
"481031w3299","all"
"481006e1499","all"
"481005e1499","all"
"481003e1499","all"
"481031e1499","all"
"481056w2899","all"
"481056w3099","all"
"48105685699","all"
"481056w2999","all"
"48101145036","all"
"48101145034","all"
"48101145012","all"
"48101100436","all"
"48101100434","all"
"48101100412","all"
"481058h3199","all"
"481058y7299","all"
"481058y7199","all"
"481058y7399","all"
"481046e0599","all"
"481046w2799","all"
"48104685899","all"
"48104685699","all"
"48104100199","all"
"48104000199","all"
"48103900199","all"
"481057q4199","all"
"48105785699","all"
"48105212299","all"
"48105200499","all"
"48105245099","all"
"48105200399","all"
"481052h2299","all"
"48105202099","all"
"48105200299","all"
"48105312299","all"
