"sku","teza"
"48105965099",0.54
"48105900399",0.54
"481059e1499",0.54
"481059zc099",0.54
"48105910599",0.54
"481059a9699",0.54
"48101800199",0.09
"48101823599",0.09
"48100812299",0.31
"481080e1499",0.04
"481083e1499",0.54
"481082e1499",0.28
"481081e1499",0.08
"48105685899",0.94
"48104500399",0.41
"48104502099",0.41
"48104400334",0.45
"48104402034",0.45
"48101132636",1.13
"48101132612",1.11
"48101132634",1.12
"481011e1436",1.13
"481011e1412",1.11
"481011e1434",1.12
"48102345099",0.39
"48102300499",0.39
"48102300399",0.39
"48102300299",0.39
"48102245099",0.2
"48100303999",0.08
"48100314599",0.08
"48100335099",0.08
"48100400299",0.04
"481016h2299",0.36
"481007122i1",0.49
"48108402036",1.5
"48108402034",1.43
"48108402012",1.39
"48108400336",1.5
"48108400334",1.43
"48108400312",1.39
"48108400136",1.5
"48108400134",1.43
"48108400112",1.39
"481083v4299",0.54
"481083h2299",0.54
"481083w3299",0.54
"48108300399",0.54
"48108302099",0.54
"48108308999",0.54
"48108300199",0.54
"481082v4299",0.28
"481082h2299",0.28
"481082w3299",0.28
"48108200399",0.28
"48108202099",0.28
"48108208999",0.28
"48108200199",0.28
"481081v4299",0.08
"481081h2299",0.08
"481081w3299",0.08
"48108100399",0.08
"48108102099",0.08
"48108108999",0.08
"48108100199",0.08
"481080v4299",0.04
"481080h2299",0.04
"481080w3299",0.04
"48108000399",0.04
"48108002099",0.04
"48108008999",0.04
"48108000199",0.04
"481007122i3",0.58
"481007122i2",0.56
"48100912299",0.25
"481021v4236",1.63
"481021v4234",1.54
"481021v4212",1.36
"481021h2236",1.63
"481021h2234",1.54
"481021h2212",1.36
"48102157436",1.63
"48102157434",1.54
"48102157412",1.36
"48102158036",1.63
"48102158034",1.54
"48102158012",1.36
"48101120036",1.13
"48101120034",1.12
"48101120012",1.11
"48101123536",1.13
"48101123534",1.12
"48101123512",1.11
"48101702899",0.54
"48101602899",0.36
"48101502899",0.28
"48100302899",0.08
"48103102899",0.03
"481031e1299",0.03
"48100402099",0.04
"481001e1499",0.81
"481001w3299",0.81
"48100111899",0.81
"481001w3799",0.81
"48100320099",0.08
"48100312299",0.08
"48100323599",0.08
"48100303799",0.08
"48100304099",0.08
"48103104099",0.03
"48103103399",0.03
"48103120099",0.03
"48103112299",0.03
"48103123599",0.03
"48103144099",0.03
"48100308999",0.08
"48101998099",0.27
"481019e0899",0.27
"481046w2999",0.27
"48104711899",0.4
"481047h2299",0.4
"481047w3299",0.4
"48104700199",0.4
"48104702099",0.4
"48104708999",0.4
"48101708999",0.54
"48101608999",0.36
"48101508999",0.28
"48103108999",0.03
"48100611899",0.44
"48100511899",0.23
"48100311899",0.08
"48103111899",0.03
"481006w3799",0.44
"481005w3799",0.23
"481003w3799",0.08
"481031w3799",0.03
"481006w3299",0.44
"481005w3299",0.23
"481003w3299",0.08
"481031w3299",0.03
"481006e1499",0.44
"481005e1499",0.23
"481003e1499",0.08
"481031e1499",0.03
"481056w2899",0.94
"481056w3099",0.94
"48105685699",0.94
"481056w2999",0.94
"48101145036",1.13
"48101145034",1.12
"48101145012",1.11
"48101100436",1.13
"48101100434",1.12
"48101100412",1.11
"481058h3199",0.37
"481058y7299",0.37
"481058y7199",0.37
"481058y7399",0.37
"481046e0599",0.27
"481046w2799",0.27
"48104685899",0.27
"48104685699",0.27
"48104100199",0.66
"48104000199",0.34
"48103900199",0.1
"481057q4199",0.28
"48105785699",0.28
"48105212299",0.19
"48105200499",0.19
"48105245099",0.19
"48105200399",0.19
"481052h2299",0.19
"48105202099",0.19
"48105200299",0.19
"48105312299",0.05
"48105300499",0.05
"48105345099",0.05
"48105300399",0.05
"481053h2299",0.05
"48105302099",0.05
"48105300199",0.05
"481056h9599",0.94
"48105012299",0.02
"48105000499",0.02
"48105045099",0.02
"48105002099",0.02
"48105000199",0.02
"48105000399",0.02
"481050h2299",0.02
"48105000299",0.02
"48104812299",0.15
"48104800499",0.15
"48104845099",0.15
"48104802099",0.15
"48104800199",0.15
"48104800399",0.15
"481048h2299",0.15
"48104800299",0.15
"48105112299",0.02
"48105100499",0.02
"48105145099",0.02
"48105102099",0.02
"48105100199",0.02
"48105100399",0.02
"481051h2299",0.02
"48105100299",0.02
"48104332636",1.65
"48104332634",1.58
"48104332612",1.44
"481043v4236",1.65
"481043v4234",1.58
"481043v4212",1.44
"48104302036",1.65
"48104302034",1.58
"48104302012",1.44
"481043h2236",1.65
"481043h2234",1.58
"481043h2212",1.44
"48104400134",0.45
"48104500199",0.41
"48103800199",0.49
"48103700199",0.25
"48103600199",0.08
"48101263836",0.5
"48101263834",0.5
"48101263812",0.5
"481012e5836",0.5
"481012e5834",0.5
"481012e5812",0.5
"48103502299",0.59
"48103402299",0.3
"48101996399",0.27
"481035v4299",0.59
"481035w0599",0.59
"48103500199",0.59
"48103503999",0.59
"48103532699",0.59
"481034v4299",0.3
"481034w0599",0.3
"48103400199",0.3
"48101732699",0.54
"481026910j6",0.19
"481026910j5",0.19
"481026w06j6",0.19
"481026w06j5",0.19
"481026908j6",0.19
"481026908j5",0.19
"481026898j6",0.19
"481026898j5",0.19
"48103103999",0.03
"48102712299",0.18
"48100804099",0.31
"48100803799",0.31
"48100800199",0.31
"481012a6234",0.5
"48101281912",0.5
"48101281936",0.5
"481012a6236",0.5
"48101281934",0.5
"481012a6212",0.5
"48102050899",0.51
"48102003799",0.51
"48102012099",0.51
"48102067099",0.51
"48101989699",0.27
"48101935299",0.27
"48101941399",0.27
"481019e5899",0.27
"48102220099",0.2
"48102200499",0.2
"48102203399",0.2
"48102200399",0.2
"48102203999",0.2
"48102200299",0.2
"481025e1299",0.16
"48102502099",0.16
"48102500399",0.16
"48102500299",0.16
"48102500199",0.16
"481017v4399",0.54
"481017h2299",0.54
"481017v4299",0.54
"48101758099",0.54
"48101750899",0.54
"48101757499",0.54
"48101657499",0.36
"48101632699",0.36
"48101650899",0.36
"48101658099",0.36
"48101600299",0.36
"48101637099",0.36
"481016v4399",0.36
"48101602099",0.36
"481016v4299",0.36
"48101600399",0.36
"48101600199",0.36
"48101550899",0.28
"48101558099",0.28
"481015h2299",0.28
"481015v4399",0.28
"48101557499",0.28
"481015v4299",0.28
"48101532699",0.28
"48100200399",0.95
"48100202099",0.95
"48100200199",0.95
"481031v4399",0.03
"481031h2299",0.03
"48103403999",0.3
"481003h2299",0.08
"48103432699",0.3
"481003v4399",0.08
"481007040i3",0.58
"481007040i2",0.56
"481007040i1",0.49
"481007037i3",0.58
"481007037i2",0.56
"481007037i1",0.49
"48100904099",0.25
"48100903799",0.25
"48103103799",0.03
"48103157499",0.03
"48103158099",0.03
"481031v4299",0.03
"48103150899",0.03
"48100357499",0.08
"48100358099",0.08
"481003v4299",0.08
"48100350899",0.08
"48100157499",0.81
"48100158099",0.81
"481001v4299",0.81
"48100150899",0.81
"48100657499",0.44
"48100658099",0.44
"481006v4299",0.44
"48100650899",0.44
"48100557499",0.23
"48100558099",0.23
"481005v4299",0.23
"48100550899",0.23
"481019a6299",0.27
"48101987199",0.27
"481019h0999",0.27
"48101981999",0.27
"48101994199",0.27
"48101963899",0.27
"481026902j6",0.19
"481026902j5",0.19
"481013440i6",1.08
"481013440i5",1.01
"481013440i4",0.8
"481013e12i6",1.08
"481013e12i5",1.01
"481013e12i4",0.8
"481013001i6",1.08
"481013001i5",1.01
